Date,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2007-08-31,5.588351249694824,5.625820873864534,5.4716596093528045,5.4716596093528045,24734400
2007-09-03,5.61404275894165,5.659006701671595,5.579784711332236,5.58834942742866,7642600
2007-09-04,5.616186141967773,5.659008922478877,5.579786901049825,5.588351620507367,7673600
2007-09-05,5.726454734802246,5.761783182062438,5.654726637753009,5.657938203398033,16957000
2007-09-06,5.78961706161499,5.882756123913144,5.768205674961054,5.844215709613706,16007800
2007-09-10,5.652584075927734,5.72217097607172,5.5840679696625095,5.690054102308421,20224000
2007-09-11,5.813170909881592,5.853852515515643,5.686844141114024,5.7510783197554245,20829600
2007-09-12,5.82387638092041,5.853852083708908,5.686843721626585,5.7510778955297805,20857400
2007-09-13,5.837791919708252,5.957695516451592,5.754287964580889,5.802463480380604,20480000
2007-09-14,5.914873123168945,5.957695897370714,5.888108991389901,5.899885274714799,15724200
2007-09-17,5.8335089683532715,5.84635563423288,5.713605392183104,5.781051102730305,17873400
2007-09-18,6.0861616134643555,6.128984375073392,5.862413521252789,5.888107259895835,21993200
2007-09-19,6.071176528930664,6.1289871608629145,5.862416185878633,5.88810993620018,22130800
2007-09-20,6.064750671386719,6.232829337702595,6.03477457475519,6.19857129159924,26854200
2007-09-21,6.121490001678467,6.128983923149261,6.01122194998984,6.102219801214112,14703000
2007-09-24,6.4148268699646,6.424461973682292,6.273512287697273,6.3088411374582245,19086200
2007-09-25,6.3281097412109375,6.380567197189198,6.2884989508045575,6.368791325308053,24088400
2007-09-26,6.3505940437316895,6.380569744830859,6.288501461685081,6.368793868247827,24224600
2007-09-27,6.373074531555176,6.434096715539191,6.257453701833753,6.37093335213964,18645600
2007-09-28,6.450157165527344,6.47692130314364,6.374147112710262,6.47692130314364,18320200
2007-10-01,6.4608635902404785,6.471569491866048,6.32169013621518,6.324902110897046,21494800
2007-10-02,6.4994025230407715,6.53901373735361,6.364511460719959,6.4244628624677445,21988200
2007-10-03,6.48655366897583,6.539011536235422,6.364509318341537,6.424460699908891,22048000
2007-10-04,6.299205780029297,6.5272362865715365,6.281005958900801,6.435167612174753,19606800
2007-10-05,6.336676120758057,6.413756956169453,6.13433933619141,6.317405911905208,20091200
2007-10-08,6.6782546043396,6.705252722822221,6.555143249972221,6.584301267368484,20934800
2007-10-09,6.69337272644043,6.705251963140282,6.555142507297166,6.584300521389926,20989400
2007-10-10,6.792728424072266,6.830525634340474,6.7225331341927985,6.733332219424088,20588600
2007-10-11,7.030311107635498,7.061629029378105,6.754930333734323,6.781928456900294,29760000
2007-10-15,7.24629545211792,7.274373728424207,7.116704801948883,7.132903839199328,33808200
2007-10-16,7.24413537979126,7.274373140793584,7.1167042270549015,7.132903262996773,33857000
2007-10-17,7.293811798095703,7.335928797072733,7.057308016211462,7.294891953533296,26717400
2007-10-18,7.321892261505127,7.33593099072305,7.05731012654628,7.294894134912435,26905800
2007-10-19,7.220377445220947,7.2808529717620445,7.11130480720882,7.150182166818742,20502200
